worker_id,pair_index,scene_seed,old_q_success,world_value_success
0,0,115964762,True,True
0,1,115964762,False,True
0,2,115964762,False,True
0,3,115964762,False,True
1,0,1150987435,True,True
1,1,1150987435,True,True
1,2,1150987435,True,False
1,3,1150987435,True,False
2,0,570116280,True,True
2,1,570116280,True,True
2,2,570116280,True,False
2,3,570116280,False,True
3,0,1281105250,True,True
3,1,1281105250,True,True
3,2,1281105250,True,True
3,3,1281105250,True,False
4,0,583918832,True,True
4,1,583918832,True,True
4,2,583918832,True,True
4,3,583918832,False,True
5,0,1659182888,False,True
5,1,1659182888,True,True
5,2,1659182888,False,True
5,3,1659182888,True,True
6,0,995060002,True,True
6,1,995060002,False,True
6,2,995060002,False,True
6,3,995060002,True,True
7,0,1737891251,True,False
7,1,1737891251,True,True
7,2,1737891251,True,True
7,3,1737891251,True,True
