seed,baseline_success,candidate_success,baseline_abort_reason,candidate_abort_reason
74230000,True,False,,
74230001,False,False,,
74230002,False,False,,
74230003,False,True,,
74230004,True,False,,
74230005,False,True,,
74230006,True,True,,
74230007,True,False,,
74240000,True,False,,
74240002,False,True,,
74240003,False,False,,
74240004,False,False,,
74240005,False,True,,
74240006,True,True,,
74240007,True,True,,
74240008,True,False,,
74250000,True,True,,
74250001,True,False,,
74250002,True,False,,
74250003,True,True,,
74250004,True,False,,
74250005,False,True,,
74250006,True,True,,
74250007,False,True,,
74260000,True,False,,
74260001,True,False,,
74260002,False,True,,
74260003,False,True,,
74260004,True,True,,
74260005,False,True,,
74260006,False,True,,
74260007,True,True,,
74270000,False,False,,
74270001,True,True,,
74270002,False,False,,
74270003,True,True,,
74270004,False,False,,
74270005,False,True,,
74270006,True,True,,
74270007,False,True,,
74280000,True,True,,
74280001,True,False,,
74280002,True,True,,
74280003,True,True,,
74280004,True,True,,
74280005,True,True,,
74280007,False,True,,
74280008,False,True,,
74290000,True,True,,
74290001,False,False,,
74290002,False,False,,
74290003,True,False,,
74290004,False,False,,
74290005,False,True,,
74290006,True,True,,
74290007,False,False,,
74300000,True,False,,
74300001,False,False,,
74300002,True,False,,
74300003,True,True,,
74300004,False,False,,
74300005,False,True,,
74300006,True,False,,
74300007,False,False,,
