phase,source_id,layout_seed,repeat,baseline_success,candidate_success,baseline_abort,candidate_abort
pilot8,gwp-qgate-pilot,115964762,0,False,True,,
pilot8,gwp-qgate-pilot,570116280,0,True,True,,
pilot8,gwp-qgate-pilot,583918832,0,False,False,,
pilot8,gwp-qgate-pilot,995060002,0,True,True,,
pilot8,gwp-qgate-pilot,1150987435,0,True,True,,
pilot8,gwp-qgate-pilot,1281105250,0,False,True,,
pilot8,gwp-qgate-pilot,1659182888,0,True,True,,
pilot8,gwp-qgate-pilot,1737891251,0,True,True,,
extension24,gwp-qgate-results,115964762,1,True,True,,
extension24,gwp-qgate-results,115964762,2,True,True,,
extension24,gwp-qgate-results,115964762,3,True,True,,
extension24,gwp-qgate-results,1150987435,1,True,True,,
extension24,gwp-qgate-results,1150987435,2,True,True,,
extension24,gwp-qgate-results,1150987435,3,True,True,,
extension24,gwp-qgate-results,570116280,1,True,True,,
extension24,gwp-qgate-results,570116280,2,True,True,,
extension24,gwp-qgate-results,570116280,3,True,True,,
extension24,gwp-qgate-results,1281105250,1,True,False,,
extension24,gwp-qgate-results,1281105250,2,True,True,,
extension24,gwp-qgate-results,1281105250,3,True,True,,
extension24,gwp-qgate-results,583918832,1,True,True,,
extension24,gwp-qgate-results,583918832,2,False,False,,
extension24,gwp-qgate-results,583918832,3,True,True,,
extension24,gwp-qgate-results,1659182888,1,True,True,,
extension24,gwp-qgate-results,1659182888,2,False,True,,
extension24,gwp-qgate-results,1659182888,3,True,True,,
extension24,gwp-qgate-results,995060002,1,True,True,,
extension24,gwp-qgate-results,995060002,2,True,True,,
extension24,gwp-qgate-results,995060002,3,False,False,,
extension24,gwp-qgate-results,1737891251,1,True,True,,
extension24,gwp-qgate-results,1737891251,2,True,True,,
extension24,gwp-qgate-results,1737891251,3,True,True,,
