step,train/attempt,train/lr,train/grad_norm,train/nonfinite_grad_skips,loss_preference,candidate_score_a_min,candidate_score_b_min,winner_score_min,loser_score_min,pair_score_margin,evaluator_unanimous_fraction,winner_is_b_fraction,candidate_video_distance,candidate_action_distance,current_logratio,reference_logratio,dpo_logit,current_winner_joint_mse,current_loser_joint_mse,reference_winner_joint_mse,reference_loser_joint_mse,loser_gradient_scale,loser_gradient_scale_active,winner_loser_output_gradient_cosine,current_video_mse,current_action_mse,reference_video_mse,reference_action_mse,preference_logit_grad_finite,candidate_batch
1,1,1e-08,1.8016880750656128,0,0.1732867956161499,-0.04996620491147041,-0.0471513606607914,-0.02329513430595398,-0.02904501184821129,0.005590641405433416,0.25,0.25,0.14227460324764252,0.0007402850314974785,0.024298682808876038,0.024298682808876038,0.0,0.23831769824028015,0.2626163959503174,0.23831769824028015,0.2626163959503174,0.09816212207078934,1.0,0.9610340595245361,0.3174988031387329,0.5958693027496338,0.3174988031387329,0.5958693027496338,1.0,4.0
2,2,2e-08,4.281274795532227,0,0.6931471824645996,-0.02423754706978798,-0.02559117041528225,-0.02390521951019764,-0.03306015953421593,0.009540822356939316,0.5,0.25,0.08449184894561768,0.0014769044937565923,-0.017223797738552094,-0.017223797738552094,0.0,0.5616486668586731,0.5444248914718628,0.5616486668586731,0.5444248914718628,0.15604963898658752,1.0,0.6788345575332642,0.3947412967681885,0.17232230305671692,0.3947412967681885,0.17232230305671692,1.0,4.0
3,3,3e-08,0.6328600645065308,0,0.519868016242981,-0.02330702170729637,-0.02632838301360607,0.006663831882178783,-0.006192424334585667,0.016530971974134445,0.625,0.375,0.08098989725112915,0.00038567755836993456,-0.0034319423139095306,-0.0034167245030403137,-1.5217810869216919e-05,0.3733369708061218,0.3699050545692444,0.3737562596797943,0.3703395426273346,0.11774466931819916,1.0,0.862149178981781,0.399046391248703,0.048346590250730515,0.3992876410484314,0.04837295040488243,1.0,4.0
4,4,4e-08,1.3400793075561523,0,0.5198389291763306,0.0030600703321397305,-0.008150582201778889,0.009857084602117538,-0.004123525228351355,0.01569102518260479,0.625,0.125,0.053385473787784576,5.474996942211874e-05,0.0026048943400382996,0.0025619156658649445,4.29786741733551e-05,0.3323008418083191,0.334905743598938,0.3320121765136719,0.3345740735530853,0.12030783295631409,1.0,0.8010568022727966,0.388594388961792,0.016618916764855385,0.3884388208389282,0.016609318554401398,1.0,4.0
5,5,5e-08,1.9438575506210327,0,0.3466015160083771,-0.0017713289707899094,-0.030746832489967346,0.0041147256270051,-0.015016529709100723,0.0258532352745533,0.25,0.25,0.0776328593492508,0.00027840962866321206,0.010886915028095245,0.010942704975605011,-5.5789947509765625e-05,0.37220659852027893,0.3830935060977936,0.3716764450073242,0.38261914253234863,0.11016028374433517,1.0,0.8738790154457092,0.34132134914398193,0.11267999559640884,0.3413369655609131,0.11303539574146271,1.0,4.0
6,6,6e-08,0.22046828269958496,0,0.17327028512954712,-0.029181409627199173,-0.024334225803613663,-0.007816511206328869,-0.008498331531882286,0.0021238236222416162,0.25,0.25,0.08447286486625671,0.0009361954871565104,-0.002245970070362091,-0.0022790031507611275,3.303308039903641e-05,0.056565042585134506,0.054319072514772415,0.056633830070495605,0.054354824125766754,0.1295507401227951,1.0,0.7431055307388306,0.38032278418540955,0.04214651510119438,0.38033029437065125,0.04219527170062065,1.0,4.0
7,7,7e-08,0.8939100503921509,0,0.17331276834011078,-0.013312590308487415,0.0006255698390305042,0.015076451003551483,-0.014841701835393906,0.03423657268285751,0.125,0.25,0.07848495244979858,0.00022807660570833832,0.009404249489307404,0.009456202387809753,-5.1952898502349854e-05,0.12315947562456131,0.1325637251138687,0.1234465092420578,0.13290271162986755,0.1510448455810547,1.0,0.6196072101593018,0.45783552527427673,0.01482454501092434,0.45781415700912476,0.0148259736597538,1.0,4.0
8,8,8e-08,0.8824199438095093,0,0.5198351144790649,-0.06279407441616058,-0.062351495027542114,-0.04972304403781891,-0.06148764491081238,0.011656847782433033,0.5,0.375,0.08648815006017685,0.0003026633057743311,0.0050855837762355804,0.00503496453166008,5.061924457550049e-05,0.3536168932914734,0.35870248079299927,0.35339316725730896,0.35842812061309814,0.13687379658222198,1.0,0.761924147605896,0.41163337230682373,0.008614147081971169,0.41158539056777954,0.008599053137004375,1.0,4.0
9,9,9e-08,1.4789856672286987,0,0.34669530391693115,-0.02050548791885376,-0.021407712250947952,-0.02786620706319809,-0.03272420912981033,0.008479652926325798,0.25,0.25,0.042582347989082336,7.431603444274515e-05,0.0034142136573791504,0.0036575868725776672,-0.00024337321519851685,0.22830061614513397,0.23171482980251312,0.22789394855499268,0.23155154287815094,0.1183582991361618,1.0,0.9097368121147156,0.362735390663147,0.03111552633345127,0.36264610290527344,0.031159020960330963,1.0,4.0
10,10,1e-07,0.5901871919631958,0,0.34652358293533325,-0.007444391027092934,-0.02400706335902214,4.4150277972221375e-05,-0.0062514012679457664,0.004823366645723581,0.375,0.0,0.10654739290475845,0.00036581518361344934,0.005996044725179672,0.005896005779504776,0.00010003894567489624,0.15881530940532684,0.16481135785579681,0.15870679914951324,0.16460280120372772,0.0966300517320633,1.0,0.8694084882736206,0.3646166920661926,0.041653431951999664,0.3648509979248047,0.04164900630712509,1.0,4.0
11,11,1.0999999999999999e-07,1.8724558353424072,0,0.5199552774429321,-0.02430758997797966,-0.02600642666220665,-0.014849841594696045,-0.03653019666671753,0.021967140957713127,0.375,0.25,0.10056474804878235,0.0015025530010461807,0.030606284737586975,0.030795931816101074,-0.00018964707851409912,0.42586374282836914,0.4564700722694397,0.4254603087902069,0.456256240606308,0.09796225279569626,1.0,0.6973848938941956,0.41166767477989197,0.0660097524523735,0.4114404022693634,0.06594864279031754,1.0,4.0
12,12,1.2e-07,0.946567952632904,0,0.17330379784107208,-0.022857414558529854,-0.032423630356788635,-0.022165929898619652,-0.029850833117961884,0.00972718931734562,0.125,0.0,0.09365901350975037,0.00026982458075508475,-0.0015174075961112976,-0.0014833956956863403,-3.4011900424957275e-05,0.08878836035728455,0.08727095276117325,0.08862164616584778,0.08713825047016144,0.1092919334769249,1.0,0.9225975871086121,0.33465418219566345,0.019138790667057037,0.33475106954574585,0.01915179006755352,1.0,4.0
13,13,1.3e-07,0.698598325252533,0,0.6932293176651001,-0.026195596903562546,-0.0218502264469862,-0.030929986387491226,-0.048341840505599976,0.011507121846079826,0.625,0.5,0.12084642052650452,0.003570712637156248,-0.0054281726479530334,-0.005263984203338623,-0.0001641884446144104,0.2867169976234436,0.28128886222839355,0.2863383889198303,0.2810744047164917,0.144056037068367,1.0,0.5896923542022705,0.29131707549095154,0.016417793929576874,0.29137855768203735,0.01635754108428955,1.0,4.0
14,14,1.4e-07,1.621710181236267,0,0.17330877482891083,-0.010203693993389606,-0.013435494154691696,-0.01162568386644125,-0.01304258406162262,0.007309000939130783,0.125,0.0,0.12252169102430344,0.0003713402256835252,-0.02059820294380188,-0.02055424451828003,-4.3958425521850586e-05,0.2813216745853424,0.2607234716415405,0.2813793420791626,0.26082509756088257,0.10594088584184647,1.0,0.953868567943573,0.4032205045223236,0.425129234790802,0.4033941626548767,0.4259103536605835,1.0,4.0
15,15,1.5e-07,7.658135414123535,0,0.6889495849609375,-0.0198882557451725,-0.030387569218873978,-0.003739994950592518,-0.030106253921985626,0.02662600763142109,0.625,0.25,0.09842550754547119,0.002362646395340562,0.05085855349898338,0.042399562895298004,0.008458990603685379,1.290056586265564,1.3409152030944824,1.2941453456878662,1.3365449905395508,0.6413012146949768,1.0,0.15099678933620453,0.40430572628974915,0.6983413696289062,0.40433645248413086,0.6986927390098572,1.0,4.0
16,16,1.6e-07,0.95721036195755,0,0.5200226306915283,-0.02884463220834732,-0.026693493127822876,-0.012011692859232426,-0.023887844756245613,0.010028090327978134,0.5,0.5,0.08036865293979645,0.0036565486807376146,-0.00704444944858551,-0.006720004603266716,-0.00032444484531879425,0.20098236203193665,0.19393791258335114,0.20089760422706604,0.19417759776115417,0.13612402975559235,1.0,0.7479918599128723,0.3228036165237427,0.01217244379222393,0.322936475276947,0.012193823233246803,1.0,4.0
17,17,1.7000000000000001e-07,1.2673918008804321,0,0.6931873559951782,-0.01935909315943718,-0.024685919284820557,-0.02558756433427334,-0.03179095685482025,0.018731946125626564,0.5,0.75,0.1146833673119545,0.0014792870497331023,0.02091830223798752,0.020998574793338776,-8.027255535125732e-05,0.6471673846244812,0.6680856943130493,0.647619903087616,0.6686185598373413,0.11147505789995193,1.0,0.8869282603263855,0.6033052802085876,0.025569120422005653,0.6036851406097412,0.02559320628643036,1.0,4.0
18,18,1.8e-07,1.4710789918899536,0,0.5197821855545044,-0.032496437430381775,-0.03256296366453171,-0.01989595778286457,-0.034398846328258514,0.01721125654876232,0.5,0.625,0.1255781054496765,0.0003418794076424092,-0.013398386538028717,-0.01355493813753128,0.00015655159950256348,0.4296993017196655,0.4163009524345398,0.4291222393512726,0.4155672788619995,0.10514341294765472,1.0,0.9413371682167053,0.5568318963050842,0.09411488473415375,0.5567083954811096,0.09392349421977997,1.0,4.0
19,19,1.8999999999999998e-07,0.4199613630771637,0,0.3466731309890747,-0.03681816905736923,-0.036604322493076324,-0.018487820401787758,-0.02217528410255909,0.004042496904730797,0.25,0.25,0.10702962428331375,0.001589932944625616,-0.00743088498711586,-0.007231852039694786,-0.00019903294742107391,0.13870961964130402,0.13127872347831726,0.13850188255310059,0.13127002120018005,0.1391521841287613,1.0,0.7452316284179688,0.37997937202453613,0.144069105386734,0.38008782267570496,0.14419682323932648,1.0,4.0
20,20,2e-07,0.4816194176673889,0,0.5199084877967834,-0.0009583525825291872,-0.002853348385542631,0.009967464953660965,0.00467345304787159,0.0075582885183393955,0.5,0.0,0.08757141977548599,0.0022867191582918167,-0.03892426937818527,-0.03882811963558197,-9.615346789360046e-05,0.496526837348938,0.4576025903224945,0.4965551495552063,0.4577270448207855,0.5334648489952087,1.0,0.27618202567100525,0.4573489725589752,0.0289780143648386,0.45747584104537964,0.02896953374147415,1.0,4.0
21,21,2.0999999999999997e-07,1.384276270866394,0,0.6930361986160278,-0.014546158723533154,-0.0223728995770216,-0.01035854872316122,-0.043734267354011536,0.03467266261577606,0.5,0.25,0.10047610104084015,0.00028320029377937317,-0.0020016133785247803,-0.0022237226366996765,0.00022210925817489624,0.5120654106140137,0.5100637674331665,0.5131555795669556,0.5109318494796753,0.12473039329051971,1.0,0.870283842086792,0.47440963983535767,0.061852242797613144,0.47473564743995667,0.061986181885004044,1.0,4.0
22,22,2.1999999999999998e-07,1.8269047737121582,0,0.5197504758834839,-0.017675817012786865,-0.019446134567260742,-0.013396806083619595,-0.016273081302642822,0.010636445134878159,0.5,0.375,0.09301570057868958,0.0017816561739891768,0.004100106656551361,0.0038801729679107666,0.00021993368864059448,0.3676697909832001,0.37176990509033203,0.36827391386032104,0.3721540570259094,0.13854563236236572,1.0,0.6487456560134888,0.40015071630477905,0.04908263310790062,0.4011085033416748,0.04934060946106911,1.0,4.0
23,23,2.3e-07,0.0,0,0.0,-0.04635818675160408,-0.043673619627952576,0.0,0.0,0.0,0.0,0.0,0.05998466908931732,0.00013269858027342707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3170619010925293,0.10825184732675552,0.317889541387558,0.10842093080282211,1.0,4.0
