step,train/attempt,train/lr,train/grad_norm,train/nonfinite_grad_skips,loss_score,loss_kl,loss_disagree,score_min,score_mean,score_disagree,kl_to_base
1,1,1.0000000000000002e-06,0.00966183003038168,0,0.02010624296963215,0.0,1.9516082829795778e-05,-0.02010624296963215,-0.0032758088782429695,0.0003903216274920851,0.0
2,2,2.0000000000000003e-06,0.011993496678769588,0,0.020060187205672264,0.0,1.0261893294227775e-05,-0.020060187205672264,-0.006527429446578026,0.00020523785497061908,0.0
3,3,3e-06,0.007357019931077957,0,0.017401380464434624,2.7401480110711418e-05,1.2329511264397297e-05,-0.017401380464434624,-0.002451264765113592,0.00024659023620188236,0.00027401477564126253
4,4,4.000000000000001e-06,0.022406959906220436,0,0.021044859662652016,1.042126132233534e-05,1.250385230378015e-05,-0.021044859662652016,-0.005727780517190695,0.0002500770497135818,0.00010421261686133221
5,5,5e-06,0.008928234688937664,0,0.021855928003787994,8.463071935693733e-06,1.3168430086807348e-05,-0.021855928003787994,-0.005155292339622974,0.00026336859446018934,8.463072299491614e-05
6,6,6e-06,0.009258551523089409,0,0.012149117887020111,9.735137609823141e-06,9.353728273708839e-06,-0.012149117887020111,0.0006998956669121981,0.00018707456183619797,9.735138155519962e-05
7,7,7.000000000000001e-06,0.012114726938307285,0,0.01502351462841034,5.11270081915427e-05,2.089512418024242e-05,-0.01502351462841034,0.005235959310084581,0.00041790245450101793,0.0005112700164318085
8,8,8.000000000000001e-06,0.021001674234867096,0,0.03419298678636551,1.837769741541706e-05,2.898906313930638e-05,-0.03419298678636551,-0.013252174481749535,0.0005797812482342124,0.00018377698143012822
9,9,9e-06,0.011692044325172901,0,0.02121536247432232,8.183178579201922e-06,2.1163257770240307e-05,-0.02121536247432232,-0.004841575399041176,0.00042326515540480614,8.18317785160616e-05
10,10,1e-05,0.008187191560864449,0,0.03768597170710564,7.401331913570175e-06,2.9003384042880498e-05,-0.03768597170710564,-0.016423949971795082,0.0005800676881335676,7.401331822620705e-05
11,11,1.1000000000000001e-05,0.010435832664370537,0,0.023999493569135666,1.200360475195339e-05,2.4604265490779653e-05,-0.023999493569135666,-0.008861992508172989,0.0004920852952636778,0.0001200360493385233
12,12,1.2e-05,0.010994342155754566,0,0.01581440307199955,1.3944184502179269e-05,1.760444138199091e-05,-0.01581440307199955,0.002491732593625784,0.00035208879853598773,0.0001394418504787609
13,13,1.3000000000000001e-05,0.008884123526513577,0,0.017240669578313828,6.666372883046279e-06,1.568890547787305e-05,-0.017240669578313828,-0.0015873309457674623,0.0003137781168334186,6.666372792096809e-05
14,14,1.4000000000000001e-05,0.01000156719237566,0,0.025039173662662506,7.396849014185136e-06,1.8781767721520737e-05,-0.025039173662662506,-0.006867581512778997,0.0003756352816708386,7.396849105134606e-05
15,15,1.5e-05,0.006168270017951727,0,0.018166013062000275,7.311205081350636e-06,1.6252597561106086e-05,-0.018166013062000275,-0.0006826771423220634,0.0003250519512221217,7.311205263249576e-05
16,16,1.6000000000000003e-05,0.014423053711652756,0,0.019360948354005814,1.1365658792783506e-05,2.423143814667128e-05,-0.019360948354005814,-0.000605046225246042,0.00048462877748534083,0.00011365659156581387
17,17,1.7000000000000003e-05,0.025732647627592087,0,0.022134490311145782,1.3521798791771289e-05,1.2596754459082149e-05,-0.022134490311145782,-0.0061678700149059296,0.0002519350964576006,0.00013521798246074468
18,18,1.8e-05,0.01420385017991066,0,0.030380353331565857,1.1243180779274553e-05,1.979973239940591e-05,-0.030380353331565857,-0.012207342311739922,0.00039599460433237255,0.00011243180779274553
19,19,1.9e-05,0.04120267182588577,0,0.023323073983192444,1.6272033462882973e-05,1.4257966540753841e-05,-0.023323073983192444,-0.007417823188006878,0.00028515933081507683,0.00016272033099085093
20,20,2e-05,0.008489022962749004,0,0.018711308017373085,7.786917194607668e-06,1.0467585525475442e-05,-0.018711308017373085,-0.004392589442431927,0.00020935172506142408,7.786916830809787e-05
21,21,2.1e-05,0.007611142471432686,0,0.015465987846255302,6.2581475503975525e-06,1.4496768926619552e-05,-0.015465987846255302,0.0005690334364771843,0.00028993538580834866,6.258147186599672e-05
22,22,2.2000000000000003e-05,0.016934508457779884,0,0.024538595229387283,1.1491997611301485e-05,1.2437953046173789e-05,-0.024538595229387283,-0.010396143421530724,0.00024875905364751816,0.00011491996701806784
